"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2024","60","PM2.5","Fort Lee Near Road","34-003-0010","AQS","5","26","8","60","23"
"01/02/2024","54","PM2.5","Intermediate School 143","36-061-0115","AQS","6","27",".","54","36"
"01/03/2024","55","PM2.5","Fort Lee Near Road","34-003-0010","AQS","6","24",".","55","35"
"01/04/2024","52","PM2.5","MASPETH LIBRARY","36-081-0120","AQS","6","33",".","52","31"
"01/05/2024","51","PM2.5","MORRISANIA","36-005-0080","AQS","6","34",".","51","36"
"01/06/2024","75","PM2.5","Elizabeth Lab","34-039-0004","AQS","11","33",".","75","44"
"01/07/2024","47","PM2.5","Intermediate School 143","36-061-0115","AQS","5","33","4","47","19"
"01/08/2024","55","PM2.5","RICHMOND POST OFFICE","36-085-0055","AQS","8","30",".","55","43"
"01/09/2024","68","PM2.5","Elizabeth Lab","34-039-0004","AQS","17","37",".","68","49"
"01/10/2024","49","PM2.5","MASPETH LIBRARY","36-081-0120","AQS","6","34",".","49","21"
"01/11/2024","54","PM2.5","Intermediate School 143","36-061-0115","AQS","9","31",".","54","36"
"01/12/2024","52","PM2.5","Elizabeth Lab","34-039-0004","AQS","13","36",".","52","43"
"01/13/2024","43","PM2.5","Intermediate School 143","36-061-0115","AQS","6","36","6","43","21"
"01/14/2024","52","PM2.5","Intermediate School 143","36-061-0115","AQS","6","32",".","52","17"
"01/15/2024","53","PM2.5","Intermediate School 143","36-061-0115","AQS","6","32",".","53","34"
"01/16/2024","58","PM2.5","Elizabeth Lab","34-039-0004","AQS","9","32",".","58","33"
"01/17/2024","55","PM2.5","Intermediate School 143","36-061-0115","AQS","5","36",".","55","33"
"01/18/2024","59","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","33",".","59","47"
"01/19/2024","66","PM2.5","Elizabeth Lab","34-039-0004","AQS","8","32","18","66","46"
"01/20/2024","46","PM2.5","MASPETH LIBRARY","36-081-0120","AQS","3","33",".","46","17"
"01/21/2024","47","PM2.5","Intermediate School 143","36-061-0115","AQS","3","36",".","47","16"
"01/22/2024","57","PM2.5","NEWBURGH","36-071-0002","AQS","6","34",".","57","45"
"01/23/2024","73","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","8","30",".","73","44"
"01/24/2024","89","PM2.5","Intermediate School 143","36-061-0115","AQS","9","28",".","89","44"
"01/25/2024","71","PM2.5","Intermediate School 143","36-061-0115","AQS","11","22","19","71","44"
"01/26/2024","71","PM2.5","Intermediate School 143","36-061-0115","AQS","10","26",".","71","42"
"01/27/2024","56","PM2.5","PS 274","36-047-0118","AQS","9","23",".","56","31"
"01/28/2024","53","PM2.5","Intermediate School 143","36-061-0115","AQS","7","27",".","53","23"
"01/29/2024","45","PM2.5","Intermediate School 143","36-061-0115","AQS","5","27",".","45","23"
"01/30/2024","56","PM2.5","Intermediate School 143","36-061-0115","AQS","6","31",".","56","29"
"01/31/2024","57","PM2.5","Intermediate School 143","36-061-0115","AQS","7","30","11","57","40"
"02/01/2024","68","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","7","19",".","68","37"
"02/02/2024","64","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","7","23",".","64","32"
"02/03/2024","36","PM2.5","Intermediate School 143","36-061-0115","AQS","6","31",".","36","32"
"02/04/2024","44","PM2.5","Toms River","34-029-2002","AQS","7","37",".","44","41"
"02/05/2024","49","PM2.5","Elizabeth Lab","34-039-0004","AQS","7","40",".","49","35"
"02/06/2024","40","PM2.5","Intermediate School 143","36-061-0115","AQS","6","36","8","40","38"
"02/07/2024","50","PM2.5","FRESHKILLS WEST","36-085-0111","AQS","9","35",".","50","46"
"02/08/2024","85","NO2","Elizabeth Lab","34-039-0004","AQS","18","34",".","70","85"
"02/09/2024","60","PM2.5","Elizabeth Lab","34-039-0004","AQS","13","38",".","60","51"
"02/10/2024","97","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","14","34",".","97","48"
"02/11/2024","56","PM2.5","Flemington","34-019-0001","AQS","13","26",".","56","37"
"02/12/2024","53","PM2.5","PS 274","36-047-0118","AQS","9","25","12","53","30"
"02/13/2024","42","PM2.5","Intermediate School 143","36-061-0115","AQS","8","32",".","42","27"
"02/14/2024","40","Ozone","MILLBROOK","36-027-0007","AQS","3","40",".","38","21"
"02/15/2024","39","Ozone","MILLBROOK","36-027-0007","AQS","7","39",".","38","33"
"02/16/2024","37","Ozone","Colliers Mills","34-029-0006","AQS","7","37",".","34","33"
"02/17/2024","43","PM2.5","Queens College Near Road","36-081-0125","AQS","8","35",".","43","33"
"02/18/2024","53","PM2.5","Elizabeth Lab","34-039-0004","AQS","7","41","11","53","43"
"02/19/2024","52","PM2.5","Elizabeth Lab","34-039-0004","AQS","9","40",".","52","42"
"02/20/2024","54","PM2.5","Elizabeth Lab","34-039-0004","AQS","8","39",".","54","40"
"02/21/2024","59","PM2.5","Elizabeth Lab","34-039-0004","AQS","11","41",".","59","55"
"02/22/2024","60","NO2","Elizabeth Lab","34-039-0004","AQS","10","41",".","56","60"
"02/23/2024","63","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","10","38",".","63","48"
"02/24/2024","52","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","10","37","8","52","36"
"02/25/2024","44","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","39",".","44","33"
"02/26/2024","58","PM2.5","Elizabeth Lab","34-039-0004","AQS","9","36",".","58","52"
"02/27/2024","78","PM2.5","Elizabeth Lab","34-039-0004","AQS","15","47",".","78","58"
"02/28/2024","73","PM2.5","PS 274","36-047-0118","AQS","9","47",".","73","47"
"02/29/2024","39","Ozone","Ramapo","34-031-5001","AQS","5","39",".","34","29"
"03/01/2024","55","PM2.5","Elizabeth Lab","34-039-0004","AQS","8","39","11","55","39"
"03/02/2024","52","PM2.5","Elizabeth Lab","34-039-0004","AQS","8","40",".","52","38"
"03/03/2024","41","NO2","Queens College Near Road","36-081-0125","AQS","7","38",".","38","41"
"03/04/2024","53","PM2.5","Elizabeth Lab","34-039-0004","AQS","7","41",".","53","39"
"03/05/2024","50","PM2.5","Elizabeth Lab","34-039-0004","AQS","8","33",".","50","41"
"03/06/2024","62","PM2.5","Elizabeth Lab","34-039-0004","AQS","11","28",".","62","37"
"03/07/2024","37","Ozone","Chester","34-027-3001","AQS","9","37","4","29","23"
"03/08/2024","41","PM2.5","Elizabeth Lab","34-039-0004","AQS","7","37",".","41","36"
"03/09/2024","46","PM2.5","Elizabeth Lab","34-039-0004","AQS","8","39",".","46","24"
"03/10/2024","36","Ozone","RIVERHEAD","36-103-0004","AQS","7","36",".","19","26"
"03/11/2024","44","Ozone","Chester","34-027-3001","AQS","5","44",".","28","16"
"03/12/2024","56","NO2","Elizabeth Lab","34-039-0004","AQS","7","47",".","46","56"
"03/13/2024","68","NO2","Elizabeth Lab","34-039-0004","AQS","15","54","21","58","68"
"03/14/2024","79","NO2","Elizabeth Lab","34-039-0004","AQS","13","74",".","77","79"
"03/15/2024","57","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","10","45",".","57","53"
"03/16/2024","48","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","8","44",".","48","42"
"03/17/2024","41","Ozone","Colliers Mills","34-029-0006","AQS","8","41",".","38","20"
"03/18/2024","37","Ozone","Colliers Mills","34-029-0006","AQS","5","37",".","19","31"
"03/19/2024","40","Ozone","MILLBROOK","36-027-0007","AQS","6","40","8","28","28"
"03/20/2024","47","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","8","41",".","47","39"
"03/21/2024","40","Ozone","MILLBROOK","36-027-0007","AQS","3","40",".","26","20"
"03/22/2024","39","PM2.5","Flemington","34-019-0001","AQS","8","39",".","39","29"
"03/23/2024","44","Ozone","RIVERHEAD","36-103-0004","AQS","8","44",".","38","43"
