"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2025","43","PM2.5","Eliza Howell-NR","26-163-0093","AQS","7","23","4","43","10"
"01/02/2025","52","PM2.5","Eliza Howell-NR","26-163-0093","AQS","7","17","10","52","13"
"01/03/2025","48","PM2.5","Eliza Howell-NR","26-163-0093","AQS","7","27","14","48","19"
"01/04/2025","35","PM2.5","Eliza Howell-NR","26-163-0093","AQS","6","31","13","35","10"
"01/05/2025","48","PM2.5","Eliza Howell-NR","26-163-0093","AQS","7","29","10","48","19"
"01/06/2025","39","PM2.5","Eliza Howell-NR","26-163-0093","AQS","7","24","13","39","21"
"01/07/2025","30","PM2.5","Eliza Howell-NR","26-163-0093","AQS","7","30","19","30","21"
"01/08/2025","34","PM2.5","Eliza Howell-NR","26-163-0093","AQS","6","26","19","34","30"
"01/09/2025","53","PM2.5","Eliza Howell-NR","26-163-0093","AQS","10","26","25","53","42"
"01/10/2025","88","PM2.5","Eliza Howell-NR","26-163-0093","AQS","10","21","44","88","33"
"01/11/2025","72","PM2.5","Eliza Howell-NR","26-163-0093","AQS","10","20","19","72","26"
"01/12/2025","71","PM2.5","Eliza Howell-NR","26-163-0093","AQS","10","31","18","71","19"
"01/13/2025","60","PM2.5","Eliza Howell-NR","26-163-0093","AQS","9","20","22","60","15"
"01/14/2025","58","PM2.5","Eliza Howell-NR","26-163-0093","AQS","9","22","20","58","25"
"01/15/2025","62","PM2.5","Eliza Howell-NR","26-163-0093","AQS","11","21","23","62","34"
"01/16/2025","75","PM2.5","Eliza Howell-NR","26-163-0093","AQS","13","20","28","75","31"
"01/17/2025","63","PM2.5","Eliza Howell-NR","26-163-0093","AQS","13","31","17","63","37"
"01/18/2025","52","PM2.5","Eliza Howell-NR","26-163-0093","AQS","9","28","10","52","21"
"01/19/2025","41","PM2.5","Eliza Howell-NR","26-163-0093","AQS","8","30","9","41","21"
"01/20/2025","56","PM2.5","Eliza Howell-NR","26-163-0093","AQS","8","26","16","56","28"
"01/21/2025","64","PM2.5","Eliza Howell-NR","26-163-0093","AQS","8","23","23","64","22"
