"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM25"
"01/01/2025","34","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AQS","34"
"01/02/2025","47","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AQS","47"
"01/03/2025","46","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AQS","46"
"01/04/2025","29","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AQS","29"
"01/05/2025","35","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AQS","35"
"01/06/2025","28","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AQS","28"
"01/07/2025","26","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AQS","26"
"01/08/2025","41","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AQS","41"
"01/09/2025","34","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AQS","34"
"01/10/2025","27","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AQS","27"
"01/11/2025","13","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AQS","13"
"01/12/2025","16","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AQS","16"
"01/13/2025","42","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AQS","42"
"01/14/2025","52","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AQS","52"
"01/15/2025","57","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AQS","57"
"01/16/2025","31","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AQS","31"
"01/17/2025","22","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AQS","22"
"01/18/2025","27","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AQS","27"
"01/19/2025","33","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AQS","33"
"01/20/2025","38","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AQS","38"
"01/21/2025","39","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AQS","39"
"01/22/2025","57","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AQS","57"
"01/23/2025","64","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AQS","64"
"01/24/2025","64","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AQS","64"
"01/25/2025","36","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AQS","36"
"01/26/2025","32","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AQS","32"
"01/27/2025","43","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AQS","43"
"01/28/2025","56","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AQS","56"
"01/29/2025","64","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AQS","64"
"01/30/2025","65","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AQS","65"
"01/31/2025","59","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AQS","59"
"02/01/2025","13","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AQS","13"
