"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM10","PM25"
"01/01/2025","38","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","7","38"
"01/02/2025","32","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","8","32"
"01/03/2025","28","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","8","28"
"01/04/2025","39","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","9","39"
"01/05/2025","25","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","7","25"
"01/06/2025","25","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","14","25"
"01/07/2025","30","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","18","30"
"01/08/2025","41","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","16","41"
"01/09/2025","26","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","6","26"
"01/10/2025","25","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","5","25"
"01/11/2025","32","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","7","32"
"01/12/2025","23","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","12","23"
"01/13/2025","6","PM10","Aberdeen Bus Stop","46-013-0004","AQS","6","."
"01/14/2025","29","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","6","29"
"01/15/2025","23","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","6","23"
"01/16/2025","11","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","3","11"
"01/17/2025","18","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","7","18"
"01/18/2025","22","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","5","22"
"01/19/2025","27","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","6","27"
"01/20/2025","6","PM10","Aberdeen Bus Stop","46-013-0004","AQS","6","."
"01/21/2025","28","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","13","28"
"01/22/2025","28","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","9","28"
"01/23/2025","30","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","10","30"
"01/24/2025","21","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","6","21"
"01/25/2025","21","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","11","21"
"01/26/2025","24","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","6","24"
"01/27/2025","11","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","9","11"
"01/28/2025","8","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","8","8"
"01/29/2025","12","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","9","12"
"01/30/2025","27","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","10","27"
"01/31/2025","38","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","9","38"
"02/01/2025","31","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","21","31"
"02/02/2025","27","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","9","27"
"02/03/2025","26","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","19","26"
"02/04/2025","32","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","7","32"
"02/05/2025","44","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","19","44"
"02/06/2025","36","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","22","36"
"02/07/2025","29","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","10","29"
"02/08/2025","44","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","14","44"
"02/09/2025","54","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","12","54"
"02/10/2025","46","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","13","46"
"02/11/2025","51","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","18","51"
"02/12/2025","41","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","19","41"
"02/13/2025","55","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","22","55"
"02/14/2025","51","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","19","51"
"02/15/2025","21","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","15","21"
"02/16/2025","32","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","8","32"
"02/17/2025","31","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","6","31"
"02/18/2025","27","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","9","27"
"02/19/2025","29","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","10","29"
"02/20/2025","34","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","19","34"
"02/21/2025","44","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","19","44"
"02/22/2025","30","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","11","30"
"02/23/2025","11","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","9","11"
"02/24/2025","8","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","3","8"
"02/25/2025","10","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","5","10"
"02/26/2025","14","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","6","14"
"02/27/2025","5","PM10","Aberdeen Bus Stop","46-013-0004","AQS","5","4"
"02/28/2025","13","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","8","13"
"03/01/2025","14","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","6","14"
"03/02/2025","28","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","23","28"
"03/03/2025","39","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","23","39"
"03/04/2025","16","PM2.5","Aberdeen Bus Stop","46-013-0004","AQS","7","16"
