"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM25"
"01/01/2025","43","Ozone","","33-007-4001","AQS","1","43","2"
"01/02/2025","33","Ozone","","33-007-4001","AQS","1","33","."
"01/03/2025","38","Ozone","","33-007-4001","AQS","1","38","."
"01/04/2025","37","Ozone","","33-007-4001","AQS","1","37","3"
"01/05/2025","37","Ozone","","33-007-4001","AQS","1","37","."
"01/06/2025","33","Ozone","","33-007-4001","AQS","1","33","."
"01/07/2025","32","Ozone","","33-007-4001","AQS","1","32","7"
"01/08/2025","34","Ozone","","33-007-4001","AQS","1","34","."
"01/09/2025","41","Ozone","","33-007-4001","AQS","1","41","."
"01/10/2025","48","Ozone","","33-007-4001","AQS","1","48","4"
"01/11/2025","48","Ozone","","33-007-4001","AQS","1","48","."
"01/12/2025","47","Ozone","","33-007-4001","AQS","1","47","."
"01/13/2025","39","Ozone","","33-007-4001","AQS","1","39","11"
"01/14/2025","33","Ozone","","33-007-4001","AQS","1","33","."
"01/15/2025","42","Ozone","","33-007-4001","AQS","1","42","."
"01/16/2025","42","Ozone","","33-007-4001","AQS","1","42","6"
"01/17/2025","39","Ozone","","33-007-4001","AQS","2","39","."
"01/18/2025","2","CO","","33-007-4001","AQS","2",".","."
"01/19/2025","44","Ozone","","33-007-4001","AQS","2","44","8"
"01/20/2025","42","Ozone","","33-007-4001","AQS","1","42","."
"01/21/2025","37","Ozone","","33-007-4001","AQS","2","37","."
"01/22/2025","45","Ozone","","33-007-4001","AQS","1","45","18"
"01/23/2025","46","Ozone","","33-007-4001","AQS","2","46","."
"01/24/2025","38","Ozone","","33-007-4001","AQS","2","38","."
"01/25/2025","40","Ozone","","33-007-4001","AQS","1","40","11"
"01/26/2025","39","Ozone","","33-007-4001","AQS","1","39","."
"01/27/2025","44","Ozone","","33-007-4001","AQS","1","44","."
"01/28/2025","43","Ozone","","33-007-4001","AQS","1","43","4"
"01/29/2025","41","Ozone","","33-007-4001","AQS","2","41","."
"01/30/2025","42","Ozone","","33-007-4001","AQS","2","42","."
"01/31/2025","46","Ozone","","33-007-4001","AQS","1","46","13"
"02/01/2025","43","Ozone","","33-007-4001","AQS","2","43","."
"02/02/2025","43","Ozone","","33-007-4001","AQS","1","43","."
"02/03/2025","42","Ozone","","33-007-4001","AQS","2","42","6"
"02/04/2025","40","Ozone","","33-007-4001","AQS","2","40","."
"02/05/2025","46","Ozone","","33-007-4001","AQS","1","46","."
"02/06/2025","47","Ozone","","33-007-4001","AQS","1","47","4"
"02/07/2025","39","Ozone","","33-007-4001","AQS","2","39","."
"02/08/2025","44","Ozone","","33-007-4001","AQS","1","44","."
"02/09/2025","42","Ozone","","33-007-4001","AQS","1","42","4"
"02/10/2025","41","Ozone","","33-007-4001","AQS","1","41","."
"02/11/2025","44","Ozone","","33-007-4001","AQS","1","44","."
"02/12/2025","46","Ozone","","33-007-4001","AQS","1","46","12"
"02/13/2025","44","Ozone","","33-007-4001","AQS","1","44","."
"02/14/2025","40","Ozone","","33-007-4001","AQS","2","40","."
"02/15/2025","48","Ozone","","33-007-4001","AQS","1","48","7"
"02/16/2025","44","Ozone","","33-007-4001","AQS","1","44","."
"02/17/2025","40","Ozone","","33-007-4001","AQS","1","40","."
"02/18/2025","39","Ozone","","33-007-4001","AQS","1","39","5"
"02/19/2025","43","Ozone","","33-007-4001","AQS","2","43","."
"02/20/2025","43","Ozone","","33-007-4001","AQS","1","43","."
"02/21/2025","44","Ozone","","33-007-4001","AQS","1","44","7"
"02/22/2025","45","Ozone","","33-007-4001","AQS","1","45","."
"02/23/2025","45","Ozone","","33-007-4001","AQS","2","45","."
"02/24/2025","49","Ozone","","33-007-4001","AQS","2","49","19"
"02/25/2025","49","Ozone","","33-007-4001","AQS","2","49","."
"02/26/2025","47","Ozone","","33-007-4001","AQS","2","47","."
"02/27/2025","47","Ozone","","33-007-4001","AQS","2","47","4"
"02/28/2025","47","Ozone","","33-007-4001","AQS","2","47","."
"03/01/2025","43","Ozone","","33-007-4001","AQS","2","43","."
"03/02/2025","47","Ozone","","33-007-4001","AQS","1","47","."
"03/03/2025","47","Ozone","","33-007-4001","AQS","1","47","."
"03/04/2025","49","Ozone","","33-007-4001","AQS","1","49","."
"03/05/2025","48","Ozone","","33-007-4001","AQS","2","48","."
"03/06/2025","45","Ozone","","33-007-4001","AQS","1","45","."
"03/07/2025","44","Ozone","","33-007-4001","AQS","1","44","."
"03/08/2025","44","Ozone","","33-007-4001","AQS","1","44","."
"03/09/2025","45","Ozone","","33-007-4001","AQS","1","45","."
"03/10/2025","49","Ozone","","33-007-4001","AQS","1","49","."
"03/11/2025","74","Ozone","","33-007-4001","AQS","2","74","."
"03/12/2025","50","Ozone","","33-007-4001","AQS","2","50","."
"03/13/2025","51","Ozone","","33-007-4001","AQS","1","51","."
"03/14/2025","84","Ozone","","33-007-4001","AQS","2","84","."
"03/15/2025","119","Ozone","","33-007-4001","AQS","2","119","."
"03/16/2025","58","Ozone","","33-007-4001","AQS","1","58","."
"03/17/2025","58","Ozone","","33-007-4001","AQS","1","58","."
"03/18/2025","49","Ozone","","33-007-4001","AQS","1","49","."
"03/19/2025","50","Ozone","","33-007-4001","AQS","1","50","."
"03/20/2025","50","Ozone","","33-007-4001","AQS","1","50","."
"03/21/2025","44","Ozone","","33-007-4001","AQS","1","44","."
"03/22/2025","49","Ozone","","33-007-4001","AQS","2","49","."
"03/23/2025","67","Ozone","","33-007-4001","AQS","1","67","."
"03/24/2025","49","Ozone","","33-007-4001","AQS","2","49","."
"03/25/2025","38","Ozone","","33-007-4001","AQS","2","38","."
"03/26/2025","39","Ozone","","33-007-4001","AQS","1","39","."
"03/27/2025","45","Ozone","","33-007-4001","AQS","1","45","."
"03/28/2025","48","Ozone","","33-007-4001","AQS","1","48","."
"03/29/2025","50","Ozone","","33-007-4001","AQS","2","50","."
"03/30/2025","54","Ozone","","33-007-4001","AQS","2","54","."
"03/31/2025","50","Ozone","","33-007-4001","AQS","1","50","."
"04/01/2025","47","Ozone","","33-007-4001","AQS","1","47","."
"04/02/2025","51","Ozone","","33-007-4001","AQS","1","51","."
"04/03/2025","47","Ozone","","33-007-4001","AQS","1","47","."
"04/04/2025","54","Ozone","","33-007-4001","AQS","1","54","."
"04/05/2025","54","Ozone","","33-007-4001","AQS","1","54","."
"04/06/2025","44","Ozone","","33-007-4001","AQS","2","44","."
"04/07/2025","45","Ozone","","33-007-4001","AQS","1","45","."
"04/08/2025","45","Ozone","","33-007-4001","AQS","1","45","."
"04/09/2025","44","Ozone","","33-007-4001","AQS","1","44","."
"04/10/2025","58","Ozone","","33-007-4001","AQS","2","58","."
"04/11/2025","64","Ozone","","33-007-4001","AQS","2","64","."
"04/12/2025","61","Ozone","","33-007-4001","AQS","1","61","."
"04/13/2025","51","Ozone","","33-007-4001","AQS","1","51","."
"04/14/2025","58","Ozone","","33-007-4001","AQS","1","58","."
"04/15/2025","61","Ozone","","33-007-4001","AQS","2","61","."
"04/16/2025","32","Ozone","CAMP DODGE, GREENS GRANT","33-007-4002","AQS","1","32","."
"04/17/2025","44","Ozone","CAMP DODGE, GREENS GRANT","33-007-4002","AQS","1","44","."
"04/18/2025","80","Ozone","","33-007-4001","AQS","2","80","."
"04/19/2025","77","Ozone","","33-007-4001","AQS","2","77","."
"04/20/2025","64","Ozone","","33-007-4001","AQS","1","64","."
"04/21/2025","74","Ozone","","33-007-4001","AQS","1","74","."
"04/22/2025","49","Ozone","","33-007-4001","AQS","2","49","."
"04/23/2025","50","Ozone","","33-007-4001","AQS","1","50","."
"04/24/2025","61","Ozone","","33-007-4001","AQS","1","61","."
"04/25/2025","90","Ozone","","33-007-4001","AQS","2","90","."
"04/26/2025","74","Ozone","","33-007-4001","AQS","1","74","."
"04/27/2025","46","Ozone","","33-007-4001","AQS","1","46","."
"04/28/2025","49","Ozone","","33-007-4001","AQS","1","49","."
"04/29/2025","64","Ozone","","33-007-4001","AQS","2","64","."
"04/30/2025","97","Ozone","","33-007-4001","AQS","2","97","."
"05/01/2025","97","Ozone","","33-007-4001","AQS","1","97","."
"05/02/2025","61","Ozone","","33-007-4001","AQS","2","61","."
"05/03/2025","45","Ozone","","33-007-4001","AQS","1","45","."
"05/04/2025","51","Ozone","","33-007-4001","AQS","1","51","."
"05/05/2025","44","Ozone","","33-007-4001","AQS","1","44","."
"05/06/2025","48","Ozone","","33-007-4001","AQS","1","48","."
"05/07/2025","46","Ozone","","33-007-4001","AQS","1","46","."
"05/08/2025","39","Ozone","","33-007-4001","AQS","1","39","."
"05/09/2025","50","Ozone","","33-007-4001","AQS","1","50","."
"05/10/2025","51","Ozone","","33-007-4001","AQS","1","51","."
"05/11/2025","44","Ozone","","33-007-4001","AQS","1","44","."
"05/12/2025","80","Ozone","","33-007-4001","AQS","1","80","."
"05/13/2025","90","Ozone","","33-007-4001","AQS","2","90","."
"05/14/2025","93","Ozone","","33-007-4001","AQS","2","93","."
"05/15/2025","48","Ozone","","33-007-4001","AQS","1","48","."
"05/16/2025","48","Ozone","","33-007-4001","AQS","1","48","."
