"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2023","57","PM2.5","EISENHOWER PARK","36-059-0005","AQS","8","31",".","57","36"
"01/02/2023","62","PM2.5","HOLTSVILLE","36-103-0009","AQS","10","27",".","62","36"
"01/03/2023","78","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","14","20",".","78","66"
"01/04/2023","70","PM2.5","Intermediate School 143","36-061-0115","AQS","13","17",".","70","33"
"01/05/2023","64","PM2.5","Elizabeth Lab","34-039-0004","AQS","11","25",".","64","28"
"01/06/2023","58","PM2.5","Intermediate School 143","36-061-0115","AQS","9","28","8","58","26"
"01/07/2023","53","PM2.5","Intermediate School 143","36-061-0115","AQS","6","28",".","53","22"
"01/08/2023","54","PM2.5","HOLTSVILLE","36-103-0009","AQS","6","30",".","54","32"
"01/09/2023","59","PM2.5","Intermediate School 143","36-061-0115","AQS","6","29",".","59","33"
"01/10/2023","60","PM2.5","Toms River","34-029-2002","AQS","6","28",".","60","32"
"01/11/2023","54","PM2.5","Queens College Near Road","36-081-0125","AQS","8","28",".","54","34"
"01/12/2023","57","PM2.5","Elizabeth Lab","34-039-0004","AQS","11","41","14","57","55"
"01/13/2023","55","PM2.5","Intermediate School 143","36-061-0115","AQS","5","39",".","55","42"
"01/14/2023","49","PM2.5","Intermediate School 143","36-061-0115","AQS","3","31",".","49","10"
"01/15/2023","52","PM2.5","Intermediate School 143","36-061-0115","AQS","5","32",".","52","15"
"01/16/2023","53","PM2.5","Intermediate School 143","36-061-0115","AQS","5","37",".","53","29"
"01/17/2023","59","PM2.5","Intermediate School 143","36-061-0115","AQS","9","33",".","59","52"
"01/18/2023","62","PM2.5","Intermediate School 143","36-061-0115","AQS","8","18","11","62","36"
"01/19/2023","44","PM2.5","Elizabeth Lab","34-039-0004","AQS","13","21",".","44","35"
"01/20/2023","55","PM2.5","Intermediate School 143","36-061-0115","AQS","7","22",".","55","26"
"01/21/2023","47","PM2.5","Queens College Near Road","36-081-0125","AQS","5","27",".","47","16"
"01/22/2023","54","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","7","26",".","54","31"
"01/23/2023","53","PM2.5","Intermediate School 143","36-061-0115","AQS","7","29",".","53","28"
"01/24/2023","56","PM2.5","Intermediate School 143","36-061-0115","AQS","5","31","7","56","30"
"01/25/2023","54","PM2.5","Intermediate School 143","36-061-0115","AQS","9","39",".","54","42"
"01/26/2023","47","PM2.5","Intermediate School 143","36-061-0115","AQS","6","33",".","47","21"
"01/27/2023","54","PM2.5","Intermediate School 143","36-061-0115","AQS","8","27",".","54","42"
"01/28/2023","55","PM2.5","Intermediate School 143","36-061-0115","AQS","8","34",".","55","41"
"01/29/2023","57","PM2.5","Intermediate School 143","36-061-0115","AQS","13","36",".","57","42"
"01/30/2023","65","PM2.5","Elizabeth Lab","34-039-0004","AQS","10","27","19","65","43"
"01/31/2023","46","PM2.5","Queens College Near Road","36-081-0125","AQS","9","33",".","46","35"
"02/01/2023","53","PM2.5","Intermediate School 143","36-061-0115","AQS","6","34",".","53","30"
"02/02/2023","59","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","9","35",".","59","47"
"02/03/2023","63","PM2.5","Intermediate School 143","36-061-0115","AQS","7","35",".","63","28"
"02/04/2023","53","PM2.5","Intermediate School 143","36-061-0115","AQS","7","31",".","53","25"
"02/05/2023","55","PM2.5","Flemington","34-019-0001","AQS","13","33","18","55","52"
"02/06/2023","68","NO2","Elizabeth Lab","34-039-0004","AQS","18","32",".","64","68"
"02/07/2023","56","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","9","33",".","56","37"
"02/08/2023","66","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","8","37",".","66","42"
"02/09/2023","77","NO2","IS 52","36-005-0110","AQS","17","43",".","70","77"
"02/10/2023","67","NO2","Elizabeth Lab","34-039-0004","AQS","13","35",".","51","67"
"02/11/2023","43","PM2.5","Intermediate School 143","36-061-0115","AQS","6","35","7","43","42"
"02/12/2023","63","PM2.5","Flemington","34-019-0001","AQS","10","33",".","63","47"
"02/13/2023","47","PM2.5","HOLTSVILLE","36-103-0009","AQS","8","40",".","47","28"
"02/14/2023","67","PM2.5","Intermediate School 143","36-061-0115","AQS","8","41",".","67","49"
"02/15/2023","54","PM2.5","Elizabeth Lab","34-039-0004","AQS","8","48",".","54","49"
"02/16/2023","67","PM2.5","Elizabeth Lab","34-039-0004","AQS","13","37",".","67","56"
"02/17/2023","55","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","11","35","11","55","35"
"02/18/2023","44","PM2.5","Intermediate School 143","36-061-0115","AQS","5","36",".","44","29"
"02/19/2023","56","PM2.5","IS 52","36-005-0110","AQS","6","40",".","56","44"
"02/20/2023","56","PM2.5","Intermediate School 143","36-061-0115","AQS","7","41",".","56","51"
"02/21/2023","59","PM2.5","Rutgers University","34-023-0011","AQS","9","36",".","59","44"
"02/22/2023","58","PM2.5","Elizabeth Lab","34-039-0004","AQS","9","34",".","58","47"
"02/23/2023","62","PM2.5","Flemington","34-019-0001","AQS","9","34","14","62","39"
"02/24/2023","51","PM2.5","Intermediate School 143","36-061-0115","AQS","7","36",".","51","28"
"02/25/2023","37","NO2","Elizabeth Lab","34-039-0004","AQS","7","36",".","31","37"
"02/26/2023","74","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","10","40",".","74","45"
"02/27/2023","51","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","43",".","51","41"
"02/28/2023","47","NO2","Fort Lee Near Road","34-003-0010","AQS","8","39",".","46","47"
"03/01/2023","56","PM2.5","Flemington","34-019-0001","AQS","9","39","13","56","53"
"03/02/2023","61","PM2.5","PS 314","36-047-0052","AQS","8","41",".","61","49"
"03/03/2023","47","PM2.5","Elizabeth Lab","34-039-0004","AQS","7","40",".","47","47"
"03/04/2023","47","PM2.5","Intermediate School 143","36-061-0115","AQS","6","40",".","47","22"
"03/05/2023","44","Ozone","RIVERHEAD","36-103-0004","AQS","5","44",".","35","24"
"03/06/2023","42","Ozone","Ramapo","34-031-5001","AQS","5","42",".","41","34"
"03/07/2023","50","PM2.5","PS 19","36-061-0128","AQS","3","42","9","50","37"
"03/08/2023","37","Ozone","Chester","34-027-3001","AQS","5","37",".","27","20"
"03/09/2023","40","Ozone","Colliers Mills","34-029-0006","AQS","6","40",".","28","27"
"03/10/2023","58","PM2.5","PS 19","36-061-0128","AQS","9","38",".","58","41"
"03/11/2023","42","PM2.5","Elizabeth Lab","34-039-0004","AQS","7","39",".","42","39"
"03/12/2023","40","Ozone","Rockland County","36-087-0005","AQS","7","40",".","33","21"
"03/13/2023","55","PM2.5","PS 19","36-061-0128","AQS","9","39","9","55","43"
"03/14/2023","43","PM2.5","Intermediate School 143","36-061-0115","AQS","8","38",".","43","20"
"03/15/2023","58","PM2.5","Intermediate School 143","36-061-0115","AQS","5","45",".","58","18"
"03/16/2023","62","NO2","IS 52","36-005-0110","AQS","8","48",".","53","62"
"03/17/2023","70","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","10","50",".","70","52"
"03/18/2023","54","PM2.5","Intermediate School 143","36-061-0115","AQS","8","44",".","54","25"
"03/19/2023","41","Ozone","Ramapo","34-031-5001","AQS","5","41","6","32","29"
"03/20/2023","59","PM2.5","Toms River","34-029-2002","AQS","8","43",".","59","57"
"03/21/2023","58","PM2.5","Elizabeth Lab","34-039-0004","AQS","9","49",".","58","58"
"03/22/2023","59","PM2.5","Elizabeth Lab","34-039-0004","AQS","7","48",".","59","55"
"03/23/2023","73","PM2.5","IS 52","36-005-0110","AQS","11","35",".","73","44"
"03/24/2023","52","PM2.5","PS 274","36-047-0118","AQS","9","41",".","52","45"
"03/25/2023","53","PM2.5","Elizabeth Lab","34-039-0004","AQS","8","37","12","53","38"
"03/26/2023","50","NO2","Jersey City","34-017-1002","AQS","8","49",".","44","50"
"03/27/2023","73","NO2","Elizabeth Lab","34-039-0004","AQS","10","48",".","55","73"
"03/28/2023","53","PM2.5","Toms River","34-029-2002","AQS","6","44",".","53","42"
"03/29/2023","48","Ozone","Flemington","34-019-0001","AQS","7","48",".","39","47"
"03/30/2023","52","NO2","Elizabeth Lab","34-039-0004","AQS","6","44",".","38","52"
"03/31/2023","58","PM2.5","Elizabeth Lab","34-039-0004","AQS","10","48","21","58","57"
"04/01/2023","55","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","8","48",".","55","39"
"04/02/2023","48","Ozone","Colliers Mills","34-029-0006","AQS","6","48",".","26","22"
"04/03/2023","50","Ozone","Flax Pond","36-103-0044","AQS","8","50",".","38","46"
"04/04/2023","63","PM2.5","Intermediate School 143","36-061-0115","AQS","11","51",".","63","53"
"04/05/2023","61","PM2.5","Rahway","34-039-2003","AQS","9","43",".","61","39"
"04/06/2023","64","PM2.5","PS 314","36-047-0052","AQS","13","42","18","64","49"
"04/07/2023","44","Ozone","Flemington","34-019-0001","AQS","7","44",".","26","20"
"04/08/2023","45","Ozone","Rutgers University","34-023-0011","AQS","9","45",".","33","30"
"04/09/2023","47","Ozone","Colliers Mills","34-029-0006","AQS","8","47",".","41","42"
"04/10/2023","61","Ozone","Chester","34-027-3001","AQS","9","61",".","52","53"
"04/11/2023","77","Ozone","Colliers Mills","34-029-0006","AQS","5","77",".","59","49"
"04/12/2023","93","Ozone","Colliers Mills","34-029-0006","AQS","6","93","31","64","56"
"04/13/2023","119","Ozone","Flax Pond","36-103-0044","AQS","7","119",".","63","58"
"04/14/2023","140","Ozone","MT NINHAM","36-079-0005","AQS","7","140",".","69","68"
"04/15/2023","52","PM2.5","Fort Lee Near Road","34-003-0010","AQS","7","43",".","52","32"
"04/16/2023","63","PM2.5","Rahway","34-039-2003","AQS","7","42",".","63","27"
"04/17/2023","53","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","48",".","53","29"
"04/18/2023","44","Ozone","Colliers Mills","34-029-0006","AQS","6","44","11","36","28"
"04/19/2023","51","Ozone","Colliers Mills","34-029-0006","AQS","11","51",".","42","44"
"04/20/2023","51","PM2.5","Rutgers University","34-023-0011","AQS","11","44",".","51","44"
"04/21/2023","71","Ozone","MILLBROOK","36-027-0007","AQS","8","71",".","61","53"
"04/22/2023","63","PM2.5","PS 314","36-047-0052","AQS","7","51",".","63","24"
"04/23/2023","54","Ozone","HOLTSVILLE","36-103-0009","AQS","8","54",".","34","26"
"04/24/2023","43","Ozone","Rutgers University","34-023-0011","AQS","3","43","6","40","32"
"04/25/2023","47","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","6","46",".","47","35"
"04/26/2023","52","PM2.5","Elizabeth Lab","34-039-0004","AQS","9","51",".","52","44"
"04/27/2023","62","PM2.5","Paterson","34-031-0005","AQS","7","48",".","62","43"
"04/28/2023","54","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","8","49",".","54","36"
"04/29/2023","44","Ozone","Colliers Mills","34-029-0006","AQS","8","44",".","36","32"
"04/30/2023","45","Ozone","Colliers Mills","34-029-0006","AQS","8","45","5","34","33"
"05/01/2023","42","Ozone","Flax Pond","36-103-0044","AQS","7","42",".","29","22"
"05/02/2023","32","Ozone","MILLBROOK","36-027-0007","AQS","8","32",".","29","31"
"05/03/2023","35","Ozone","RIVERHEAD","36-103-0004","AQS","8","35",".","22","23"
"05/04/2023","39","PM2.5","IS 52","36-005-0110","AQS","9","39",".","39","38"
"05/05/2023","47","PM2.5","Elizabeth Lab","34-039-0004","AQS","13","39",".","47","38"
"05/06/2023","44","NO2","QUEENS COLLEGE 2","36-081-0124","AQS","14","41","11","40","44"
"05/07/2023","51","Ozone","Rutgers University","34-023-0011","AQS","11","51",".","45","30"
"05/08/2023","49","Ozone","Monmouth University","34-025-0005","AQS","11","49",".","43","33"
"05/09/2023","53","PM2.5","Elizabeth Lab","34-039-0004","AQS","10","45",".","53","42"
"05/10/2023","61","Ozone","Colliers Mills","34-029-0006","AQS","6","61",".","52","44"
"05/11/2023","74","Ozone","Flax Pond","36-103-0044","AQS","5","74",".","65","46"
"05/12/2023","105","Ozone","Colliers Mills","34-029-0006","AQS","6","105","31","74","55"
"05/13/2023","74","Ozone","BABYLON","36-103-0002","AQS","6","74",".","70","36"
"05/14/2023","62","PM2.5","Elizabeth Lab","34-039-0004","AQS","5","45",".","62","13"
"05/15/2023","58","Ozone","Colliers Mills","34-029-0006","AQS","6","58",".","56","33"
"05/16/2023","87","Ozone","Monmouth University","34-025-0005","AQS","9","87",".","61","42"
"05/17/2023","55","PM2.5","Jersey City Firehouse","34-017-1003","AQS","9","44",".","55","27"
"05/18/2023","52","PM2.5","PS 19","36-061-0128","AQS","5","45","19","52","35"
"05/19/2023","60","PM2.5","Jersey City Firehouse","34-017-1003","AQS","6","48",".","60","35"
"05/20/2023","41","PM2.5","PS 274","36-047-0118","AQS","14","31",".","41","29"
"05/21/2023","68","PM2.5","PS 19","36-061-0128","AQS","15","44",".","68","33"
"05/22/2023","74","PM2.5","Elizabeth Lab","34-039-0004","AQS","27","46",".","74","32"
"05/23/2023","60","PM2.5","Elizabeth Lab","34-039-0004","AQS","25","41",".","60","34"
"05/24/2023","64","Ozone","Flemington","34-019-0001","AQS","26","64","20","59","42"
"05/25/2023","44","Ozone","Colliers Mills","34-029-0006","AQS","25","44",".","41","29"
"05/26/2023","69","PM2.5","Elizabeth Lab","34-039-0004","AQS","9","48",".","69","32"
"05/27/2023","74","Ozone","Flemington","34-019-0001","AQS","16","74",".","69","35"
"05/28/2023","97","Ozone","Rockland County","36-087-0005","AQS","25","97",".","54","30"
"05/29/2023","65","PM2.5","Elizabeth Lab","34-039-0004","AQS","26","64",".","65","33"
"05/30/2023","67","PM2.5","Queens College Near Road","36-081-0125","AQS","30","44","24","67","25"
"05/31/2023","71","PM2.5","Toms River","34-029-2002","AQS","8","51",".","71","35"
"06/01/2023","133","Ozone","Chester","34-027-3001","AQS","8","133",".","69","39"
"06/02/2023","166","Ozone","Rutgers University","34-023-0011","AQS","9","166",".","71","49"
"06/03/2023","63","PM2.5","Rutgers University","34-023-0011","AQS","8","39",".","63","38"
"06/04/2023","36","Ozone","Flemington","34-019-0001","AQS","6","36",".","32","14"
"06/05/2023","59","PM2.5","Elizabeth Lab","34-039-0004","AQS","7","42","19","59","25"
"06/06/2023","183","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","10","77",".","183","41"
"06/07/2023","278","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","14","47",".","278","32"
"06/08/2023","191","PM2.5","Toms River","34-029-2002","AQS","13","64","58","191","40"
"06/09/2023","73","PM2.5","Toms River","34-029-2002","AQS","9","44",".","73","25"
"06/10/2023","65","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","6","42",".","65","32"
"06/11/2023","112","Ozone","Ramapo","34-031-5001","AQS","9","112","31","100","32"
"06/12/2023","86","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","8","64",".","86","28"
"06/13/2023","71","Ozone","Rutgers University","34-023-0011","AQS","7","71",".","59","27"
"06/14/2023","62","PM2.5","IS 45","36-061-0079","AQS","7","48",".","62","36"
